team_id,team,team_name,season,position,gp,g,freq,opp_pos_fgm,opp_pos_fga,opp_pos_fg_pct,normal_fg_pct,opp_pos_fg_diff
1610612747,LAL,Los Angeles Lakers,2021,PG,82,82,1.0,42.57,90.54,0.47,0.46,0.01
1610612737,ATL,Atlanta Hawks,2021,PG,82,82,1.0,41.89,88.95,0.471,0.46,0.011
1610612765,DET,Detroit Pistons,2021,PG,82,82,1.0,40.65,85.98,0.473,0.462,0.011
1610612741,CHI,Chicago Bulls,2021,PG,82,82,1.0,41.43,87.41,0.474,0.459,0.015
1610612757,POR,Portland Trail Blazers,2021,PG,82,82,1.0,41.13,85.91,0.479,0.462,0.017
1610612758,SAC,Sacramento Kings,2021,PG,82,82,1.0,43.28,90.22,0.48,0.461,0.019
1610612745,HOU,Houston Rockets,2021,PG,82,82,1.0,43.44,89.91,0.483,0.461,0.022
1610612754,IND,Indiana Pacers,2021,PG,82,82,1.0,42.5,87.95,0.483,0.46,0.023
1610612738,BOS,Boston Celtics,2021,SG,82,82,1.0,38.26,88.06,0.434,0.46,-0.026
1610612744,GSW,Golden State Warriors,2021,SG,82,82,1.0,37.94,86.56,0.438,0.461,-0.023
1610612756,PHX,Phoenix Suns,2021,SG,82,82,1.0,39.22,88.33,0.444,0.459,-0.015
1610612752,NYK,New York Knicks,2021,SG,82,82,1.0,38.45,85.96,0.447,0.461,-0.014
1610612748,MIA,Miami Heat,2021,SG,82,82,1.0,37.54,83.96,0.447,0.46,-0.013
1610612746,LAC,LA Clippers,2021,SG,82,82,1.0,40.77,90.62,0.45,0.461,-0.011
1610612739,CLE,Cleveland Cavaliers,2021,SG,82,82,1.0,39.46,87.22,0.452,0.46,-0.008
1610612751,BKN,Brooklyn Nets,2021,SG,82,82,1.0,40.73,90.18,0.452,0.459,-0.007
1610612762,UTA,Utah Jazz,2021,SG,82,82,1.0,40.41,89.24,0.453,0.46,-0.007
1610612763,MEM,Memphis Grizzlies,2021,SG,82,82,1.0,40.29,88.63,0.455,0.461,-0.006
1610612760,OKC,Oklahoma City Thunder,2021,SG,82,82,1.0,41.44,90.5,0.458,0.462,-0.004
1610612742,DAL,Dallas Mavericks,2021,SG,82,82,1.0,39.0,85.38,0.457,0.46,-0.004
1610612749,MIL,Milwaukee Bucks,2021,SG,82,82,1.0,41.35,90.62,0.456,0.46,-0.004
1610612753,ORL,Orlando Magic,2021,SG,82,82,1.0,40.77,88.96,0.458,0.461,-0.003
1610612755,PHI,Philadelphia 76ers,2021,SG,82,82,1.0,39.67,86.55,0.458,0.46,-0.001
1610612750,MIN,Minnesota Timberwolves,2021,SG,82,82,1.0,40.22,87.35,0.46,0.461,0.0
1610612761,TOR,Toronto Raptors,2021,SG,82,82,1.0,38.99,84.38,0.462,0.462,0.0
1610612764,WAS,Washington Wizards,2021,SG,82,82,1.0,41.27,88.85,0.464,0.459,0.005
1610612759,SAS,San Antonio Spurs,2021,SG,82,82,1.0,42.45,91.15,0.466,0.461,0.005
1610612766,CHA,Charlotte Hornets,2021,SG,82,82,1.0,41.84,89.78,0.466,0.46,0.006
1610612743,DEN,Denver Nuggets,2021,SG,82,82,1.0,41.05,87.39,0.47,0.459,0.01
1610612740,NOP,New Orleans Pelicans,2021,SG,82,82,1.0,40.26,85.48,0.471,0.461,0.01
1610612747,LAL,Los Angeles Lakers,2021,SG,82,82,1.0,42.57,90.54,0.47,0.46,0.01
1610612737,ATL,Atlanta Hawks,2021,SG,82,82,1.0,41.89,88.95,0.471,0.46,0.011
1610612765,DET,Detroit Pistons,2021,SG,82,82,1.0,40.65,85.98,0.473,0.462,0.011
1610612741,CHI,Chicago Bulls,2021,SG,82,82,1.0,41.43,87.41,0.474,0.459,0.015
1610612757,POR,Portland Trail Blazers,2021,SG,82,82,1.0,41.13,85.91,0.479,0.462,0.017
1610612758,SAC,Sacramento Kings,2021,SG,82,82,1.0,43.28,90.22,0.48,0.461,0.019
1610612745,HOU,Houston Rockets,2021,SG,82,82,1.0,43.44,89.91,0.483,0.461,0.022
1610612754,IND,Indiana Pacers,2021,SG,82,82,1.0,42.5,87.95,0.483,0.46,0.023
1610612738,BOS,Boston Celtics,2021,SF,82,82,1.0,38.26,88.06,0.434,0.46,-0.026
1610612744,GSW,Golden State Warriors,2021,SF,82,82,1.0,37.94,86.56,0.438,0.461,-0.023
1610612756,PHX,Phoenix Suns,2021,SF,82,82,1.0,39.22,88.33,0.444,0.459,-0.015
1610612752,NYK,New York Knicks,2021,SF,82,82,1.0,38.45,85.96,0.447,0.461,-0.014
1610612748,MIA,Miami Heat,2021,SF,82,82,1.0,37.54,83.96,0.447,0.46,-0.013
1610612746,LAC,LA Clippers,2021,SF,82,82,1.0,40.77,90.62,0.45,0.461,-0.011
1610612739,CLE,Cleveland Cavaliers,2021,SF,82,82,1.0,39.46,87.22,0.452,0.46,-0.008
1610612751,BKN,Brooklyn Nets,2021,SF,82,82,1.0,40.73,90.18,0.452,0.459,-0.007
1610612762,UTA,Utah Jazz,2021,SF,82,82,1.0,40.41,89.24,0.453,0.46,-0.007
1610612763,MEM,Memphis Grizzlies,2021,SF,82,82,1.0,40.29,88.63,0.455,0.461,-0.006
1610612760,OKC,Oklahoma City Thunder,2021,SF,82,82,1.0,41.44,90.5,0.458,0.462,-0.004
1610612742,DAL,Dallas Mavericks,2021,SF,82,82,1.0,39.0,85.38,0.457,0.46,-0.004
1610612749,MIL,Milwaukee Bucks,2021,SF,82,82,1.0,41.35,90.62,0.456,0.46,-0.004
1610612753,ORL,Orlando Magic,2021,SF,82,82,1.0,40.77,88.96,0.458,0.461,-0.003
1610612755,PHI,Philadelphia 76ers,2021,SF,82,82,1.0,39.67,86.55,0.458,0.46,-0.001
1610612750,MIN,Minnesota Timberwolves,2021,SF,82,82,1.0,40.22,87.35,0.46,0.461,0.0
1610612761,TOR,Toronto Raptors,2021,SF,82,82,1.0,38.99,84.38,0.462,0.462,0.0
1610612764,WAS,Washington Wizards,2021,SF,82,82,1.0,41.27,88.85,0.464,0.459,0.005
1610612759,SAS,San Antonio Spurs,2021,SF,82,82,1.0,42.45,91.15,0.466,0.461,0.005
1610612766,CHA,Charlotte Hornets,2021,SF,82,82,1.0,41.84,89.78,0.466,0.46,0.006
1610612743,DEN,Denver Nuggets,2021,SF,82,82,1.0,41.05,87.39,0.47,0.459,0.01
1610612740,NOP,New Orleans Pelicans,2021,SF,82,82,1.0,40.26,85.48,0.471,0.461,0.01
1610612747,LAL,Los Angeles Lakers,2021,SF,82,82,1.0,42.57,90.54,0.47,0.46,0.01
1610612737,ATL,Atlanta Hawks,2021,SF,82,82,1.0,41.89,88.95,0.471,0.46,0.011
1610612765,DET,Detroit Pistons,2021,SF,82,82,1.0,40.65,85.98,0.473,0.462,0.011
1610612741,CHI,Chicago Bulls,2021,SF,82,82,1.0,41.43,87.41,0.474,0.459,0.015
1610612757,POR,Portland Trail Blazers,2021,SF,82,82,1.0,41.13,85.91,0.479,0.462,0.017
1610612758,SAC,Sacramento Kings,2021,SF,82,82,1.0,43.28,90.22,0.48,0.461,0.019
1610612745,HOU,Houston Rockets,2021,SF,82,82,1.0,43.44,89.91,0.483,0.461,0.022
1610612754,IND,Indiana Pacers,2021,SF,82,82,1.0,42.5,87.95,0.483,0.46,0.023
1610612738,BOS,Boston Celtics,2021,PF,82,82,1.0,38.26,88.06,0.434,0.46,-0.026
1610612744,GSW,Golden State Warriors,2021,PF,82,82,1.0,37.94,86.56,0.438,0.461,-0.023
1610612756,PHX,Phoenix Suns,2021,PF,82,82,1.0,39.22,88.33,0.444,0.459,-0.015
1610612752,NYK,New York Knicks,2021,PF,82,82,1.0,38.45,85.96,0.447,0.461,-0.014
1610612748,MIA,Miami Heat,2021,PF,82,82,1.0,37.54,83.96,0.447,0.46,-0.013
1610612746,LAC,LA Clippers,2021,PF,82,82,1.0,40.77,90.62,0.45,0.461,-0.011
1610612739,CLE,Cleveland Cavaliers,2021,PF,82,82,1.0,39.46,87.22,0.452,0.46,-0.008
1610612751,BKN,Brooklyn Nets,2021,PF,82,82,1.0,40.73,90.18,0.452,0.459,-0.007
1610612762,UTA,Utah Jazz,2021,PF,82,82,1.0,40.41,89.24,0.453,0.46,-0.007
1610612763,MEM,Memphis Grizzlies,2021,PF,82,82,1.0,40.29,88.63,0.455,0.461,-0.006
1610612760,OKC,Oklahoma City Thunder,2021,PF,82,82,1.0,41.44,90.5,0.458,0.462,-0.004
1610612742,DAL,Dallas Mavericks,2021,PF,82,82,1.0,39.0,85.38,0.457,0.46,-0.004
1610612749,MIL,Milwaukee Bucks,2021,PF,82,82,1.0,41.35,90.62,0.456,0.46,-0.004
1610612753,ORL,Orlando Magic,2021,PF,82,82,1.0,40.77,88.96,0.458,0.461,-0.003
1610612755,PHI,Philadelphia 76ers,2021,PF,82,82,1.0,39.67,86.55,0.458,0.46,-0.001
1610612750,MIN,Minnesota Timberwolves,2021,PF,82,82,1.0,40.22,87.35,0.46,0.461,0.0
1610612761,TOR,Toronto Raptors,2021,PF,82,82,1.0,38.99,84.38,0.462,0.462,0.0
1610612764,WAS,Washington Wizards,2021,PF,82,82,1.0,41.27,88.85,0.464,0.459,0.005
1610612759,SAS,San Antonio Spurs,2021,PF,82,82,1.0,42.45,91.15,0.466,0.461,0.005
